"","X","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"197",197,7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5
"198",198,11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,6
"199",199,5.4,0.835,0.08,1.2,0.046,13,93,0.9924,3.57,0.85,13,7
"200",200,6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
"202",202,8.8,0.37,0.48,2.1,0.097,39,145,0.9975,3.04,1.03,9.3,5
"204",204,7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5
"205",205,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,6
"206",206,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
"207",207,12.8,0.3,0.74,2.6,0.095,9,28,0.9994,3.2,0.77,10.8,7
"208",208,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5
"210",210,11,0.3,0.58,2.1,0.054,7,19,0.998,3.31,0.88,10.5,7
"212",212,8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6
"213",213,11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6
"214",214,8.2,0.57,0.26,2.2,0.06,28,65,0.9959,3.3,0.43,10.1,5
"215",215,7.8,0.735,0.08,2.4,0.092,10,41,0.9974,3.24,0.71,9.8,6
"216",216,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5
"217",217,8.7,0.625,0.16,2,0.101,13,49,0.9962,3.14,0.57,11,5
"218",218,8.1,0.725,0.22,2.2,0.072,11,41,0.9967,3.36,0.55,9.1,5
"221",221,7.8,0.34,0.37,2,0.082,24,58,0.9964,3.34,0.59,9.4,6
"222",222,7.4,0.53,0.26,2,0.101,16,72,0.9957,3.15,0.57,9.4,5
"224",224,8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6
"226",226,7.7,0.43,0.25,2.6,0.073,29,63,0.99615,3.37,0.58,10.5,6
"227",227,8.9,0.59,0.5,2,0.337,27,81,0.9964,3.04,1.61,9.5,6
"228",228,9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5
"230",230,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
"231",231,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,7
"232",232,8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6
"233",233,8.5,0.37,0.2,2.8,0.09,18,58,0.998,3.34,0.7,9.6,6
"234",234,6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
"235",235,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
"236",236,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
"237",237,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
"238",238,7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6
"239",239,7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
"240",240,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6
"241",241,8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,5
"242",242,12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,6
"245",245,15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7
"246",246,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
"247",247,7.1,0.68,0.07,1.9,0.075,16,51,0.99685,3.38,0.52,9.5,5
"248",248,8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5
"249",249,7.7,0.53,0.06,1.7,0.074,9,39,0.99615,3.35,0.48,9.8,6
"250",250,7.3,0.66,0,2,0.084,6,23,0.9983,3.61,0.96,9.9,6
"251",251,10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,6
"252",252,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
"253",253,11.1,0.35,0.48,3.1,0.09,5,21,0.9986,3.17,0.53,10.5,5
"254",254,7.7,0.775,0.42,1.9,0.092,8,86,0.9959,3.23,0.59,9.5,5
"255",255,7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6
"256",256,8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5
"257",257,9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5
"258",258,6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,5
"259",259,7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5
"260",260,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7
"262",262,7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
"263",263,8,0.52,0.03,1.7,0.07,10,35,0.99575,3.34,0.57,10,5
"264",264,7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5
"266",266,11.8,0.26,0.52,1.8,0.071,6,10,0.9968,3.2,0.72,10.2,7
"268",268,7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8
"269",269,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
"270",270,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
"271",271,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
"273",273,10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5
"276",276,7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
"277",277,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,6
"278",278,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
"279",279,10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8
"280",280,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
"281",281,11.4,0.26,0.44,3.6,0.071,6,19,0.9986,3.12,0.82,9.3,6
"282",282,7.7,0.27,0.68,3.5,0.358,5,10,0.9972,3.25,1.08,9.9,7
"283",283,7.6,0.52,0.12,3,0.067,12,53,0.9971,3.36,0.57,9.1,5
"284",284,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7
"285",285,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
"286",286,9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
"287",287,12,0.45,0.55,2,0.073,25,49,0.9997,3.1,0.76,10.3,6
"288",288,7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6
"290",290,11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5
"291",291,8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
"292",292,11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5
"293",293,10.4,0.55,0.23,2.7,0.091,18,48,0.9994,3.22,0.64,10.3,6
"294",294,6.9,0.36,0.25,2.4,0.098,5,16,0.9964,3.41,0.6,10.1,6
"295",295,13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,6
"296",296,10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5
"297",297,10.6,0.83,0.37,2.6,0.086,26,70,0.9981,3.16,0.52,9.9,5
"299",299,7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5
"301",301,7.5,0.53,0.06,2.6,0.086,20,44,0.9965,3.38,0.59,10.7,6
"303",303,8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5
"305",305,8.4,0.65,0.6,2.1,0.112,12,90,0.9973,3.2,0.52,9.2,5
"306",306,10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
"308",308,10.3,0.41,0.42,2.4,0.213,6,14,0.9994,3.19,0.62,9.5,6
"309",309,10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6
"310",310,7.4,0.29,0.38,1.7,0.062,9,30,0.9968,3.41,0.53,9.5,6
"312",312,7.9,0.53,0.24,2,0.072,15,105,0.996,3.27,0.54,9.4,6
"313",313,9,0.46,0.31,2.8,0.093,19,98,0.99815,3.32,0.63,9.5,6
"314",314,8.6,0.47,0.3,3,0.076,30,135,0.9976,3.3,0.53,9.4,5
"315",315,7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5
"316",316,7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6
"318",318,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
"319",319,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
"320",320,9.6,0.77,0.12,2.9,0.082,30,74,0.99865,3.3,0.64,10.4,6
"321",321,9.8,0.66,0.39,3.2,0.083,21,59,0.9989,3.37,0.71,11.5,7
"322",322,9.3,0.61,0.26,3.4,0.09,25,87,0.99975,3.24,0.62,9.7,5
"323",323,7.8,0.62,0.05,2.3,0.079,6,18,0.99735,3.29,0.63,9.3,5
"324",324,10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,6
"325",325,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
"326",326,10,0.49,0.2,11,0.071,13,50,1.0015,3.16,0.69,9.2,6
"327",327,11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,7
"328",328,10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,5
"329",329,13.4,0.27,0.62,2.6,0.082,6,21,1.0002,3.16,0.67,9.7,6
"330",330,10.7,0.46,0.39,2,0.061,7,15,0.9981,3.18,0.62,9.5,5
"331",331,10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,6
"333",333,8,0.58,0.28,3.2,0.066,21,114,0.9973,3.22,0.54,9.4,6
"334",334,8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5
"335",335,7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7
"337",337,8.9,0.43,0.45,1.9,0.052,6,16,0.9948,3.35,0.7,12.5,6
"338",338,7.8,0.43,0.32,2.8,0.08,29,58,0.9974,3.31,0.64,10.3,5
"339",339,12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6
"341",341,12.2,0.34,0.5,2.4,0.066,10,21,1,3.12,1.18,9.2,6
"342",342,10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6
"343",343,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
"344",344,10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
"345",345,11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6
"347",347,6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,7
"348",348,13.8,0.49,0.67,3,0.093,6,15,0.9986,3.02,0.93,12,6
"349",349,9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6
"350",350,9.1,0.785,0,2.6,0.093,11,28,0.9994,3.36,0.86,9.4,6
"351",351,10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6
"352",352,9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,6
"353",353,7.7,0.665,0,2.4,0.09,8,19,0.9974,3.27,0.73,9.3,5
"354",354,13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,5
"355",355,6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
"356",356,6.7,0.75,0.01,2.4,0.078,17,32,0.9955,3.55,0.61,12.8,6
"357",357,11.5,0.41,0.52,3,0.08,29,55,1.0001,3.26,0.88,11,5
"358",358,10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,7
"359",359,11.9,0.43,0.66,3.1,0.109,10,23,1,3.15,0.85,10.4,7
"361",361,8.2,0.7,0.23,2,0.099,14,81,0.9973,3.19,0.7,9.4,5
"362",362,8.6,0.45,0.31,2.6,0.086,21,50,0.9982,3.37,0.91,9.9,6
"363",363,11.9,0.58,0.66,2.5,0.072,6,37,0.9992,3.05,0.56,10,5
"364",364,12.5,0.46,0.63,2,0.071,6,15,0.9988,2.99,0.87,10.2,5
"365",365,12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,7
"366",366,10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,6
